Name,Usage,Type,SubType,Material Density,Elastic Modulus,Poisson Ratio,Material CTE,Fatigue Exponent,Fatigue Coefficient,Thermal Conductivity,Tg,Shape Factor,Material Class,Fracture Strength,Created By,Modified By,Notes
LOCTITE 3563,LEAD / PAD / DIE,ELASTIC,ISO,1.50E-09,2800,0.35,"3.5E-5@-40C, 3.5E-5@129.9C, 1.1E-4@130.1C, 1.1E-4@150C",-8.60E-02,3.20E-03,0.3,,,ALLOY,,"ANSYS, Inc.",UIA69701 @ 2018-06-21 13:10:34,
LOCTITE STYCAST A 316-48,POTTING,ELASTIC,ISO,1.40E-09,"5750@0C, 4710@50C, 3820@100C, 3460@150C",0.49,"6.2E-5@-85C, 6.2E-5@145C, 1.82E-4@145.1C, 1.82E-4@160C",-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:41:50,
MDM9628,DIE,ELASTIC,ISO,1.90E-09,15168,0.3,1.20E-05,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",VKQT38 @ 2019-03-06 15:30:24,
MICRON MT29GZ5A5BPGGA OVERMOLD,POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,"1.04E-5@99C, 2.53E-5@101C",-8.60E-02,3.20E-03,0.3,100,,ALLOY,,"ANSYS, Inc.",UIC05170 @ 2019-07-09 09:44:21,
MICRON MT29GZA5BPGGA LAMINATE,POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,"1.04E-5@99C, 2.53E-5@101C",-8.60E-02,3.20E-03,0.3,100,,ALLOY,,"ANSYS, Inc.",UIC05170 @ 2019-07-09 09:44:36,
MOUNTHOLE,,ELASTIC,ISO,1.00E-12,1000000,0.3,1.00E-07,-8.60E-02,3.20E-03,0.0001,,,,,,,
MT29RZ4B2DZZHHWD,DIE,ELASTIC,ISO,1.90E-09,15168,0.3,8.50E-06,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",VKQT38 @ 2019-03-06 15:23:47,
NICKEL CHROME,LEAD / PAD,ELASTIC,ISO,8.40E-09,221000,0.32,1.40E-05,-8.60E-02,3.20E-03,12.5,,,ALLOY,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-4000H7,,ELASTIC,ISO,1.90E-09,22000,0.3,2.30E-05,-8.60E-02,3.20E-03,2.51,177,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-7000,,ELASTIC,ISO,1.90E-09,16000,0.3,1.60E-05,-8.60E-02,3.20E-03,0.71,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-7000H,,ELASTIC,ISO,1.90E-09,16000,0.3,1.60E-05,-8.60E-02,3.20E-03,0.71,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-7000V,,ELASTIC,ISO,1.90E-09,16000,0.3,1.60E-05,-8.60E-02,3.20E-03,0.71,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-7100,,ELASTIC,ISO,1.90E-09,13000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.75,120,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-7100H-3,,ELASTIC,ISO,1.90E-09,26000,0.3,1.10E-05,-8.60E-02,3.20E-03,0.8,120,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-7250,,ELASTIC,ISO,1.90E-09,13000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.75,120,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-7410TA,,ELASTIC,ISO,1.90E-09,22000,0.3,8.00E-06,-8.60E-02,3.20E-03,0.88,115,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-8000A,,ELASTIC,ISO,1.90E-09,13000,0.3,1.80E-05,-8.60E-02,3.20E-03,0.67,163,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-8000AHP,,ELASTIC,ISO,1.90E-09,13000,0.3,1.80E-05,-8.60E-02,3.20E-03,0.67,163,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-8000CH4,,ELASTIC,ISO,1.90E-09,18600,0.3,1.30E-05,-8.60E-02,3.20E-03,0.0018,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO DENKO MP-8950CH,,ELASTIC,ISO,1.90E-09,26000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.76,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO HC-30-2,,ELASTIC,ISO,1.90E-09,15000,0.25,2.87E-05,-8.60E-02,3.20E-03,1.47,,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO HC-100-X1,,ELASTIC,ISO,1.90E-09,27000,0.25,6.25E-06,-8.60E-02,3.20E-03,0.97,,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-4000H7,,ELASTIC,ISO,1.90E-09,22000,0.25,2.36E-05,-8.60E-02,3.20E-03,2.51,177,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-7000,,ELASTIC,ISO,1.90E-09,16000,0.25,1.67E-05,-8.60E-02,3.20E-03,0.71,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-7000H,,ELASTIC,ISO,1.90E-09,16000,0.25,1.67E-05,-8.60E-02,3.20E-03,0.71,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-7000V,,ELASTIC,ISO,1.90E-09,16000,0.25,1.67E-05,-8.60E-02,3.20E-03,0.71,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-7100,,ELASTIC,ISO,1.90E-09,19000,0.25,1.36E-05,-8.60E-02,3.20E-03,0.75,120,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-7100H-3,,ELASTIC,ISO,1.90E-09,19000,0.25,1.15E-05,-8.60E-02,3.20E-03,0.8,120,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-7250,,ELASTIC,ISO,1.90E-09,15000,0.25,1.36E-05,-8.60E-02,3.20E-03,0.75,120,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-7410TA,,ELASTIC,ISO,1.90E-09,27000,0.25,8.32E-06,-8.60E-02,3.20E-03,0.88,115,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-8000A,,ELASTIC,ISO,1.90E-09,13000,0.25,1.87E-05,-8.60E-02,3.20E-03,0.67,163,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-8000AHP,,ELASTIC,ISO,1.90E-09,13000,0.25,1.87E-05,-8.60E-02,3.20E-03,0.67,163,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NITTO MP-8950CH,,ELASTIC,ISO,1.90E-09,20000,0.25,1.04E-05,-8.60E-02,3.20E-03,0.76,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
NYLON,,ELASTIC,ISO,1.14E-09,3100,0.4,1.47E-04,-8.60E-02,3.20E-03,0.243,50,,POLYMER,4.50E+02,"ANSYS, Inc.","ANSYS, Inc.",
NYLON (PA66),,ELASTIC,ISO,1.14E-09,3100,0.4,1.30E-04,-8.60E-02,3.20E-03,0.24,50,,POLYMER,4.50E+02,"ANSYS, Inc.","ANSYS, Inc.",
NYLON (PA612),,ELASTIC,ISO,1.06E-09,2400,0.4,9.00E-05,-8.60E-02,3.20E-03,0.2175,46,,POLYMER,4.50E+02,"ANSYS, Inc.","ANSYS, Inc.",
OVERMOLD-BGA,,ELASTIC,ISO,1.90E-09,15857,0.25,1.50E-05,-8.60E-02,3.20E-03,0.8,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
OVERMOLD-LEADED,,ELASTIC,ISO,1.90E-09,26500,0.3,1.40E-05,-8.60E-02,3.20E-03,,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
OVERMOLD-QFN,,ELASTIC,ISO,1.90E-09,26500,0.3,8.00E-06,-8.60E-02,3.20E-03,0.85,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
OVERMOLD-QFN-7PPM,,ELASTIC,ISO,1.90E-09,26500,0.3,7.00E-06,-8.60E-02,3.20E-03,0.85,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
OVERMOLD-QFN-9PPM,,ELASTIC,ISO,1.90E-09,26500,0.3,9.00E-06,-8.60E-02,3.20E-03,0.85,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
OVERMOLD-QFN-10PPM,,ELASTIC,ISO,1.90E-09,26500,0.3,1.00E-05,-8.60E-02,3.20E-03,0.85,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
OVERMOLD-QFN-11PPM,,ELASTIC,ISO,1.90E-09,26500,0.3,1.10E-05,-8.60E-02,3.20E-03,0.85,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
OVERMOLD-QFN-12PPM,,ELASTIC,ISO,1.90E-09,26500,0.3,1.20E-05,-8.60E-02,3.20E-03,0.8,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
